GeoFips,GeoName,LineCode,IndustryName
08000,Colorado,25,"Real GDP by state: Nondurable goods manufacturing (311-316,322-326)"
08000,Colorado,3,"Real GDP by state: Agriculture, forestry, fishing and hunting (11)"
08000,Colorado,34,Real GDP by state: Wholesale trade (42)
08000,Colorado,35,Real GDP by state: Retail trade (44-45)
08000,Colorado,36,Real GDP by state: Transportation and warehousing (48-49)
08000,Colorado,45,Real GDP by state: Information (51)
08000,Colorado,51,Real GDP by state: Finance and insurance (52)
08000,Colorado,56,Real GDP by state: Real estate and rental and leasing (53)
08000,Colorado,6,"Real GDP by state: Mining, quarrying, and oil and gas extraction (21)"
08000,Colorado,60,"Real GDP by state: Professional, scientific, and technical services (54)"
08000,Colorado,64,Real GDP by state: Management of companies and enterprises (55)
08000,Colorado,65,Real GDP by state: Administrative and support and waste management and remediation services (56)
08000,Colorado,69,Real GDP by state: Educational services (61)
08000,Colorado,70,Real GDP by state: Health care and social assistance (62)
08000,Colorado,76,"Real GDP by state: Arts, entertainment, and recreation (71)"
08000,Colorado,79,Real GDP by state: Accommodation and food services (72)
08000,Colorado,82,Real GDP by state: Other services (except government and government enterprises) (81)
08000,Colorado,83,Real GDP by state: Government and government enterprises (92)
08000,Colorado,84,Real GDP by state: Federal civilian
08000,Colorado,85,Real GDP by state: Military
08000,Colorado,86,Real GDP by state: State and local
09000,Connecticut,1,Real GDP by state: All industry total
09000,Connecticut,10,Real GDP by state: Utilities (22)
09000,Connecticut,11,Real GDP by state: Construction (23)
09000,Connecticut,12,Real GDP by state: Manufacturing (31-33)
09000,Connecticut,13,"Real GDP by state: Durable goods manufacturing (321,327-339)"
09000,Connecticut,2,Real GDP by state: Private industries
09000,Connecticut,25,"Real GDP by state: Nondurable goods manufacturing (311-316,322-326)"
09000,Connecticut,3,"Real GDP by state: Agriculture, forestry, fishing and hunting (11)"
09000,Connecticut,34,Real GDP by state: Wholesale trade (42)
09000,Connecticut,35,Real GDP by state: Retail trade (44-45)
09000,Connecticut,36,Real GDP by state: Transportation and warehousing (48-49)
09000,Connecticut,45,Real GDP by state: Information (51)
09000,Connecticut,51,Real GDP by state: Finance and insurance (52)
09000,Connecticut,56,Real GDP by state: Real estate and rental and leasing (53)
09000,Connecticut,6,"Real GDP by state: Mining, quarrying, and oil and gas extraction (21)"
09000,Connecticut,60,"Real GDP by state: Professional, scientific, and technical services (54)"
09000,Connecticut,64,Real GDP by state: Management of companies and enterprises (55)
09000,Connecticut,65,Real GDP by state: Administrative and support and waste management and remediation services (56)
09000,Connecticut,69,Real GDP by state: Educational services (61)
09000,Connecticut,70,Real GDP by state: Health care and social assistance (62)
09000,Connecticut,76,"Real GDP by state: Arts, entertainment, and recreation (71)"
09000,Connecticut,79,Real GDP by state: Accommodation and food services (72)
09000,Connecticut,82,Real GDP by state: Other services (except government and government enterprises) (81)
09000,Connecticut,83,Real GDP by state: Government and government enterprises (92)
09000,Connecticut,84,Real GDP by state: Federal civilian
09000,Connecticut,85,Real GDP by state: Military
09000,Connecticut,86,Real GDP by state: State and local
10000,Delaware,1,Real GDP by state: All industry total
10000,Delaware,10,Real GDP by state: Utilities (22)
10000,Delaware,11,Real GDP by state: Construction (23)
10000,Delaware,12,Real GDP by state: Manufacturing (31-33)
10000,Delaware,13,"Real GDP by state: Durable goods manufacturing (321,327-339)"
10000,Delaware,2,Real GDP by state: Private industries
10000,Delaware,25,"Real GDP by state: Nondurable goods manufacturing (311-316,322-326)"
10000,Delaware,3,"Real GDP by state: Agriculture, forestry, fishing and hunting (11)"
10000,Delaware,34,Real GDP by state: Wholesale trade (42)
10000,Delaware,35,Real GDP by state: Retail trade (44-45)
10000,Delaware,36,Real GDP by state: Transportation and warehousing (48-49)
10000,Delaware,45,Real GDP by state: Information (51)
10000,Delaware,51,Real GDP by state: Finance and insurance (52)
10000,Delaware,56,Real GDP by state: Real estate and rental and leasing (53)
10000,Delaware,6,"Real GDP by state: Mining, quarrying, and oil and gas extraction (21)"
10000,Delaware,60,"Real GDP by state: Professional, scientific, and technical services (54)"
10000,Delaware,64,Real GDP by state: Management of companies and enterprises (55)
10000,Delaware,65,Real GDP by state: Administrative and support and waste management and remediation services (56)
10000,Delaware,69,Real GDP by state: Educational services (61)
10000,Delaware,70,Real GDP by state: Health care and social assistance (62)
10000,Delaware,76,"Real GDP by state: Arts, entertainment, and recreation (71)"
10000,Delaware,79,Real GDP by state: Accommodation and food services (72)
10000,Delaware,82,Real GDP by state: Other services (except government and government enterprises) (81)
10000,Delaware,83,Real GDP by state: Government and government enterprises (92)
10000,Delaware,84,Real GDP by state: Federal civilian
10000,Delaware,85,Real GDP by state: Military
10000,Delaware,86,Real GDP by state: State and local
11000,District of Columbia,1,Real GDP by state: All industry total
11000,District of Columbia,10,Real GDP by state: Utilities (22)
11000,District of Columbia,11,Real GDP by state: Construction (23)
11000,District of Columbia,12,Real GDP by state: Manufacturing (31-33)
11000,District of Columbia,13,"Real GDP by state: Durable goods manufacturing (321,327-339)"
11000,District of Columbia,2,Real GDP by state: Private industries
11000,District of Columbia,25,"Real GDP by state: Nondurable goods manufacturing (311-316,322-326)"
11000,District of Columbia,3,"Real GDP by state: Agriculture, forestry, fishing and hunting (11)"
11000,District of Columbia,34,Real GDP by state: Wholesale trade (42)
11000,District of Columbia,35,Real GDP by state: Retail trade (44-45)
11000,District of Columbia,36,Real GDP by state: Transportation and warehousing (48-49)
11000,District of Columbia,45,Real GDP by state: Information (51)
11000,District of Columbia,51,Real GDP by state: Finance and insurance (52)
11000,District of Columbia,56,Real GDP by state: Real estate and rental and leasing (53)
11000,District of Columbia,6,"Real GDP by state: Mining, quarrying, and oil and gas extraction (21)"
11000,District of Columbia,60,"Real GDP by state: Professional, scientific, and technical services (54)"
11000,District of Columbia,64,Real GDP by state: Management of companies and enterprises (55)
11000,District of Columbia,65,Real GDP by state: Administrative and support and waste management and remediation services (56)
11000,District of Columbia,69,Real GDP by state: Educational services (61)
11000,District of Columbia,70,Real GDP by state: Health care and social assistance (62)
11000,District of Columbia,76,"Real GDP by state: Arts, entertainment, and recreation (71)"
11000,District of Columbia,79,Real GDP by state: Accommodation and food services (72)
11000,District of Columbia,82,Real GDP by state: Other services (except government and government enterprises) (81)
11000,District of Columbia,83,Real GDP by state: Government and government enterprises (92)
11000,District of Columbia,84,Real GDP by state: Federal civilian
11000,District of Columbia,85,Real GDP by state: Military
11000,District of Columbia,86,Real GDP by state: State and local
12000,Florida,1,Real GDP by state: All industry total
12000,Florida,10,Real GDP by state: Utilities (22)
12000,Florida,11,Real GDP by state: Construction (23)
12000,Florida,12,Real GDP by state: Manufacturing (31-33)
12000,Florida,13,"Real GDP by state: Durable goods manufacturing (321,327-339)"
12000,Florida,2,Real GDP by state: Private industries
12000,Florida,25,"Real GDP by state: Nondurable goods manufacturing (311-316,322-326)"
12000,Florida,3,"Real GDP by state: Agriculture, forestry, fishing and hunting (11)"
12000,Florida,34,Real GDP by state: Wholesale trade (42)
12000,Florida,35,Real GDP by state: Retail trade (44-45)
12000,Florida,36,Real GDP by state: Transportation and warehousing (48-49)
12000,Florida,45,Real GDP by state: Information (51)
12000,Florida,51,Real GDP by state: Finance and insurance (52)
12000,Florida,56,Real GDP by state: Real estate and rental and leasing (53)
12000,Florida,6,"Real GDP by state: Mining, quarrying, and oil and gas extraction (21)"
12000,Florida,60,"Real GDP by state: Professional, scientific, and technical services (54)"
12000,Florida,64,Real GDP by state: Management of companies and enterprises (55)
12000,Florida,65,Real GDP by state: Administrative and support and waste management and remediation services (56)
12000,Florida,69,Real GDP by state: Educational services (61)
12000,Florida,70,Real GDP by state: Health care and social assistance (62)
12000,Florida,76,"Real GDP by state: Arts, entertainment, and recreation (71)"
12000,Florida,79,Real GDP by state: Accommodation and food services (72)
12000,Florida,82,Real GDP by state: Other services (except government and government enterprises) (81)
12000,Florida,83,Real GDP by state: Government and government enterprises (92)
12000,Florida,84,Real GDP by state: Federal civilian
12000,Florida,85,Real GDP by state: Military
12000,Florida,86,Real GDP by state: State and local
13000,Georgia,1,Real GDP by state: All industry total
13000,Georgia,10,Real GDP by state: Utilities (22)
13000,Georgia,11,Real GDP by state: Construction (23)
13000,Georgia,12,Real GDP by state: Manufacturing (31-33)
13000,Georgia,13,"Real GDP by state: Durable goods manufacturing (321,327-339)"
13000,Georgia,2,Real GDP by state: Private industries
13000,Georgia,25,"Real GDP by state: Nondurable goods manufacturing (311-316,322-326)"
13000,Georgia,3,"Real GDP by state: Agriculture, forestry, fishing and hunting (11)"
13000,Georgia,34,Real GDP by state: Wholesale trade (42)
13000,Georgia,35,Real GDP by state: Retail trade (44-45)
13000,Georgia,36,Real GDP by state: Transportation and warehousing (48-49)
13000,Georgia,45,Real GDP by state: Information (51)
13000,Georgia,51,Real GDP by state: Finance and insurance (52)
13000,Georgia,56,Real GDP by state: Real estate and rental and leasing (53)
13000,Georgia,6,"Real GDP by state: Mining, quarrying, and oil and gas extraction (21)"
13000,Georgia,60,"Real GDP by state: Professional, scientific, and technical services (54)"
13000,Georgia,64,Real GDP by state: Management of companies and enterprises (55)
13000,Georgia,65,Real GDP by state: Administrative and support and waste management and remediation services (56)
13000,Georgia,69,Real GDP by state: Educational services (61)
13000,Georgia,70,Real GDP by state: Health care and social assistance (62)
13000,Georgia,76,"Real GDP by state: Arts, entertainment, and recreation (71)"
13000,Georgia,79,Real GDP by state: Accommodation and food services (72)
13000,Georgia,82,Real GDP by state: Other services (except government and government enterprises) (81)
13000,Georgia,83,Real GDP by state: Government and government enterprises (92)
13000,Georgia,84,Real GDP by state: Federal civilian
13000,Georgia,85,Real GDP by state: Military
13000,Georgia,86,Real GDP by state: State and local
15000,Hawaii,1,Real GDP by state: All industry total
15000,Hawaii,10,Real GDP by state: Utilities (22)
